Ride_ID,Driver_ID,City,Date,Duration_min,Distance_km,Fare,Rating,Promo_Code,Driver_ID.1,Name,Age,City.1,Experience_Years,Average_Rating,Active_Status
3,147,San Francisco,11/14/2024,8,4.6,8.95,4.5,WELCOME5,147,Raymond Hill,38,Chicago,16,4.3,Inactive
23,147,New York,11/24/2024,34,17.7,20.68,4.9,WELCOME5,147,Raymond Hill,38,Chicago,16,4.3,Inactive
131,103,Miami,11/16/2024,108,44.3,78.79,4.6,DISCOUNT10,103,Crystal Cook,57,Chicago,9,4.5,Inactive
10,119,Los Angeles,11/7/2024,56,27.6,39.41,3.8,DISCOUNT10,119,April Rodriguez,44,Chicago,4,5,Active
93,119,New York,11/3/2024,2,1.6,1.27,4.4,WELCOME5,119,April Rodriguez,44,Chicago,4,5,Active
11,170,Miami,11/20/2024,47,29.3,82.09,4.8,WELCOME5,170,Erik Greene,37,Chicago,20,5,Inactive
37,170,San Francisco,11/11/2024,67,41.1,108.1,4.3,DISCOUNT10,170,Erik Greene,37,Chicago,20,5,Inactive
77,170,San Francisco,11/26/2024,22,12.6,10.31,4.8,WELCOME5,170,Erik Greene,37,Chicago,20,5,Inactive
82,170,Chicago,11/18/2024,95,41.3,98.77,5,SAVE20,170,Erik Greene,37,Chicago,20,5,Inactive
14,148,San Francisco,11/14/2024,31,12.9,34.17,3.8,DISCOUNT10,148,Isaiah Evans,60,Chicago,3,4.9,Inactive
76,148,San Francisco,11/16/2024,100,41.7,112.92,4.5,SAVE20,148,Isaiah Evans,60,Chicago,3,4.9,Inactive
68,111,Chicago,11/2/2024,86,42.5,118.47,4.3,WELCOME5,111,Barbara Bryant,52,Chicago,2,4.8,Inactive
105,111,Miami,11/7/2024,90,48.5,62.76,3.8,WELCOME5,111,Barbara Bryant,52,Chicago,2,4.8,Inactive
16,136,Los Angeles,11/25/2024,116,49.7,49.96,4.9,DISCOUNT10,136,Erik Simpson,29,Chicago,16,4,Inactive
19,122,Los Angeles,11/21/2024,65,43.1,117.71,3.8,DISCOUNT10,122,Randall Cook,32,Chicago,15,5,Inactive
100,122,Chicago,11/23/2024,74,39.7,75.9,5,SAVE20,122,Randall Cook,32,Chicago,15,5,Inactive
43,115,Los Angeles,11/18/2024,91,38.9,87.05,4.4,SAVE20,115,Patrick Hall,37,Chicago,4,4.4,Active
53,115,San Francisco,11/17/2024,13,6.2,6.34,3.6,DISCOUNT10,115,Patrick Hall,37,Chicago,4,4.4,Active
25,151,Miami,11/5/2024,35,21.9,43.21,4.2,SAVE20,151,Kristen Smith,55,Chicago,14,4.7,Inactive
54,151,Los Angeles,11/10/2024,66,31.4,29.07,3.7,DISCOUNT10,151,Kristen Smith,55,Chicago,14,4.7,Inactive
103,151,New York,11/5/2024,61,32.8,16.99,3.6,WELCOME5,151,Kristen Smith,55,Chicago,14,4.7,Inactive
35,195,Los Angeles,11/24/2024,109,46.2,87.16,4.6,SAVE20,195,Kathleen Soto,31,Chicago,9,4.4,Active
40,158,New York,11/13/2024,102,43.9,57.95,4,SAVE20,158,Holly Li,47,Chicago,14,4.1,Inactive
121,158,Chicago,11/10/2024,85,35.2,65.7,3.7,DISCOUNT10,158,Holly Li,47,Chicago,14,4.1,Inactive
71,142,New York,11/10/2024,10,6.7,4.73,4,DISCOUNT10,142,Samuel Warren,58,Chicago,20,4.9,Active
